Time,PID,Name,Status,CPU Usage (%),UsedMemory
1701877832,5566,chrome,S,6.64563,237124
1701877832,1954,gnome-shell,S,6.46744,217348
1701877832,5617,chrome,S,5.71109,127332
1701877832,9228,chrome,S,5.01983,417312
1701877832,33628,code,S,3.03968,205968
1701877832,3382,Xwayland,S,2.08966,96172
1701877832,9606,chrome,S,1.64858,199056
1701877832,5618,chrome,S,1.63858,74932
1701877832,39266,code,S,1.46755,332192
1701877832,33608,code,S,0.948062,94032
1701877834,39266,code,S,76.4774,345440
1701877834,33608,code,S,27.81,101672
1701877834,1954,gnome-shell,S,12.5145,217348
1701877834,40368,gnome-terminal-,S,9.73349,52760
1701877834,3382,Xwayland,S,5.56199,96172
1701877834,33546,code,S,4.17149,96372
1701877834,9228,chrome,S,2.3175,391048
1701877834,38078,kworker/u32:2-events_unbound,I,1.3905,-1
1701877834,39346,code,S,1.3905,415508
1701877834,38954,kworker/u32:0-events_unbound,I,0.463499,-1
1701877836,39266,code,S,112.715,358692
1701877836,33608,code,S,34.3643,105512
1701877836,1954,gnome-shell,S,15.1203,217180
1701877836,3382,Xwayland,S,10.0802,96172
1701877836,40368,gnome-terminal-,S,8.70561,52760
1701877836,33546,code,S,7.78923,96500
1701877836,39346,code,S,4.5819,415580
1701877836,38078,kworker/u32:2-events_unbound,I,1.37457,-1
1701877836,9228,chrome,S,1.37457,390480
1701877836,652,gfx_high,S,0.45819,-1
1701877839,9228,chrome,S,79.6776,341952
1701877839,39266,code,S,46.9775,368808
1701877839,33608,code,S,17.962,105464
1701877839,1954,gnome-shell,S,9.67185,217180
1701877839,40368,gnome-terminal-,S,7.36903,52760
1701877839,3382,Xwayland,S,5.06621,96172
1701877839,33546,code,S,4.60564,96500
1701877839,39346,code,S,2.30282,414924
1701877839,5566,chrome,S,0.921128,237508
1701877839,33694,code,S,0.460564,37036
1701877841,9228,chrome,S,13.0157,349156
1701877841,5566,chrome,S,8.83207,232572
1701877841,40368,gnome-terminal-,S,8.36723,52760
1701877841,1954,gnome-shell,S,6.97269,217180
1701877841,5617,chrome,S,1.39454,127332
1701877841,38078,kworker/u32:2-phy0,I,0.929692,-1
1701877841,33546,code,S,0.929692,96756
1701877841,5618,chrome,S,0.464846,74932
1701877841,39346,code,S,0.464846,414840
1701877841,39266,code,S,0.464846,360988
1701877843,5566,chrome,S,21.0896,237000
1701877843,9228,chrome,S,7.49854,355556
1701877843,1954,gnome-shell,S,7.02988,217180
1701877843,40368,gnome-terminal-,S,7.02988,52760
1701877843,33546,code,S,1.87463,96272
1701877843,5617,chrome,S,1.87463,127332
1701877843,33694,code,S,1.40598,37536
1701877843,38078,kworker/u32:2-events_power_efficient,I,0.937317,-1
1701877843,39266,code,S,0.937317,353696
1701877843,2214,ibus-daemon,S,0.937317,5656
1701877845,9228,chrome,S,46.0905,359584
1701877845,1954,gnome-shell,S,15.5203,217180
1701877845,40368,gnome-terminal-,S,8.46561,52760
1701877845,5566,chrome,S,5.17343,238792
1701877845,39205,chrome,S,5.17343,254988
1701877845,5617,chrome,S,3.29218,129124
1701877845,5618,chrome,S,1.41093,75188
1701877845,33628,code,S,0.940623,206352
1701877845,39346,code,S,0.940623,415132
1701877845,38078,kworker/u32:2-phy0,I,0.940623,-1
